company_name,profile_url,company_website_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
QLL,https://e27.co/startups/qll/,http://qll.co/,Taiwan,"Education, Software as a Service, Agency & Consulting, Information & Communications Technology",,,,http://www.facebook.com/talkingapp,info@qll.co,,"QLL (Quick Language Learning) Pte. Ltd. is a company specialized in developing language learning apps, they are based in Taiwan.","QLL (Quick Language Learning) Pte. Ltd. is a company specialized in developing language learning apps, they are based in Taiwan and registered in Singapore. 2007, they launched a break-through Chinese learning gadget, “Pocket Chinese Tutor”, it is an Mp4 player with Chinese speech assessment function, it can help learner correct their accent of speaking Chinese. 

Q.L.L.(Quick Language Learning) Inc. Ltd. develops digital language learning contents and applications. It publishes iOS and Android applications in the categories of language acquisition, children’s stories, and general learning targeting children ages 3-8 years old; and in traditional and simplified Chinese, English, Japanese, Korean, and Spanish languages. The company offers its applications through Google Play and the iTunes store. Q.L.L.(Quick Language Learning) Inc. Ltd. was founded in 2007 and is based in Taipei, Taiwan."
Ihram.Asia,https://e27.co/startups/ihram-asia/,http://www.ihram.asia,Indonesia,,,,,,founders@ihram.asia,,,
Nextnab,https://e27.co/startups/nextnab/,https://www.nextnab.com.au/,Australia,,2018-07-01,,,"https://www.linkedin.com/company/nextnab, https://twitter.com/nextnabofficial, https://www.facebook.com/nextnab/",info@nextnab.com.au,,"Welcome to NextNab. Nextnab is Austraila's one of the largest independent classifieds website. Here you can find anything from fashion, sportswear, furniture to interior decor for sale.","Nextnab is Australia's one of the biggest classifieds website where you can find ongoing sales on fashion, furniture, baby products, games, beauty and appliances. Just browse the website and directly link yourself with the biggest sales online. 
Nextnab is a flexible platform for all the shopaholic souls of Australia to get their desired products at the best prices. Nextnab helps you find great places around you and in online space. From fashion, furniture, kitchen appliances, sports and fitness products, garden accessories to baby products, Nextnab has all of them on its platform. The website is designed with all the latest web design techniques and easy navigation. "
Aivvy,https://e27.co/startups/aivvy/,http://aivvy.com/,Hong Kong,Entertainment,,,,"https://www.linkedin.com/company/aivvy-inc-, https://twitter.com/aivvy, https://www.facebook.com/pages/Aivvy-Inc/589576787835262?",startups@e27.co,,"Founded in 2014, Aivvy Inc. is committed to pushing the boundaries of user experience by continuously innovating to make devices smarter.","Founded in 2014, Aivvy Inc. is committed to pushing the boundaries of user experience by continuously innovating to make devices smarter.

Aivvy’s vision is to bring users a brand new lifestyle through exquisitely designed devices combined with intelligence and intuitive data analysis.

Aivvy has set up research and development teams spanning the world, from California to Shenzhen and Hong Kong."
DewHive Solutions  ,https://e27.co/startups/dewhive-solutions/,http://www.dewhive.com/,India,Finance,,,,"https://www.linkedin.com/company/dewhive-solutions, https://twitter.com/DewHive, https://www.facebook.com/dewhive",startups@e27.co,,"DewHive Solutions is a Technology driven company, primarily focused on building innovative solutions for the business and enterprise needs.","DewHive Solutions is a Technology driven company, primarily focused on building innovative solutions for the business and enterprise needs. They strongly believe in “The spirit of Agile”, “The humbleness of nature” and “Human Touch” which are the foundation pillars of DewHive Solutions..
Transformation is the law of nature and they accept and transform themselves to meet the ever-changing business needs.

Their strength lies in Agile methodology for development, research & development and the thought process inspired by nature where every problem is solved uniquely.
Vision –Delivery the technology with human touch which meets the ever- changing business needs."
RED Burlesque,https://e27.co/startups/red-burlesque/,http://www.redburlesque.com/,Australia,E-commerce,,,,https://twitter.com/RedBurlesque,startups@e27.co,,"RED Burlesque is the most diverse, most luscious and sumptuous red lipstick range on the planet.","RED Burlesque is the most diverse, most luscious and sumptuous red lipstick range on the planet.

Inspired by the sexy, teasy, steamy world of Burlesque, the range includes 21 long-lasting shades, hand picked and named after 21 of the world’s most renown Burlesque performers.

100% allergy tested, fragrance free & enriched with Vitamin E to moisturise your lips, not dry them out. And, of course, cruelty-free."
Fingertips Lab,https://e27.co/startups/fingertips-lab/,http://www.o6app.com/,South Korea,"Hardware, Internet of Things",,,,"https://www.linkedin.com/company/7951770, https://twitter.com/O6app, https://www.facebook.com/O6app",startups@e27.co,,"Fingertips Lab's product, O6, is a device used to remotely control and engage with your smartphone without looking at or touching it.","Fingertips Lab's product, O6, is a device used to remotely control and engage with your smartphone without looking at or touching it

Fingertips Labs’ mission is to make technology more usable, to more people, in more settings. Their pioneering focus is on using machine learning for remote, design-obsessed interaction with technology. Their first product is O6 - an exciting new way of interacting with mobile applications. "
CreditMate,https://e27.co/startups/creditmate/,http://creditmate.in/,India,Finance,,,,"https://www.linkedin.com/company/creditmate, https://www.facebook.com/CreditMate",startups@e27.co,,"CreditMate is an online lender focused on the 18 Million transactions a year, $10 Billion Dollar Used MotorBike Market.","CreditMate is an online lender focused on the 18 Million transactions a year, $10 Billion Dollar Used MotorBike Market."
TIPTEL INFORMATICS PVT.LTD,https://e27.co/startups/tiptel-informatics-pvt-ltd/,http://www.tiptel.in,India,,,,,"https://www.linkedin.com/organization/13257247, https://twitter.com/Tiptelmobiles, https://www.facebook.com/tiptelmobileindia/",info@tiptel.in,,"TIPTEL is one of the fastest growing mobile phone manufacturers in India.Getting the best of both worlds, TipTel brings to you the finest telecom handsets and accessories to suffice the new generation","TIPTEL endeavours to revolutionise the face of telecom by meeting the dynamic needs of the youth globally.The onset of August 2016, witnessed the rise of the most promising telecom firm, TiPTEL in India. Our head operating centres are situated in Delhi/NCR from where we monitor all our regional centres spread wide across the nation, CIS and SAARC.

TIPTEL Ensures that its users have their world on their tips.
Easily mobile handset has been carefully designed to serve more than the mere purpose of ealing and messaging

Tiptel handset have been uniquely designed with the latest technology to empower its users a world class experience, Its easy on the pocket"
Cereal Tech,https://e27.co/startups/cereal-tech/,https://cerealtech.com/,Singapore,Food & Beverage,,,,,enquiry@cerealtech.com,,"CerealTech is a Singapore owned company offering a wide range of effective micro-ingredient systems, technical solutions and application expertise to the cereal-based industries.","CerealTech is a Singapore owned company offering a wide range of effective micro-ingredient systems, technical solutions and application expertise to the cereal-based industries. Founded in 1995, CerealTech now outreaches to clients and new businesses across the world through our own representative offices, joint partnerships and distributors. Our global footprint covers the Asia Pacific region, the Middle East, Africa and the European Union.

At CerealTech, we are continuously innovating. Our commitment to ongoing R&D has enabled us to progress beyond cereal-based products. We can provide effective technical and marketing solutions throughout the whole spectrum of the food production chain, from breads and cakes, noodles and pasta, to even stocks and sauces.

Technology plays a fundamental role during the development of our products. But our passion for the industry, and understanding the needs, is our driver for innovation."
